fioriId,RoleName,AppName,ApplicationType,UITechnology,BSPName,BSPApplicationURL,SAPUI5ComponentId,PrimaryODataServiceName,PrimaryODataServiceVersion,AdditionalODataServices,AdditionalODataServicesVersions,OData V4 Service Group,Link,
F0409,Employee - Travel Info,My Travel Requests,Transactional,SAP Fiori (SAPUI5),FIN_TR_CRE,,travel.request.create,SRA004_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0409
F0409A,Employee - Travel Info,My Travel Requests (Version 2),Transactional,SAP Fiori elements,FIN_TR_CRE_V2,/sap/bc/ui5_ui5/sap/fin_tr_cre_v2,fin.travel.mytravelrequestsv2,TRV_MTR_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0409A
F0409B,Travel Agent,Travel Requests for Travel Assistant,Transactional,SAP Fiori elements,FIN_TRTA_CRE_S1,/sap/bc/ui5_ui5/sap/fin_trta_cre_s1,fin.travel.travelrequestss1,TRV_UI_SB_MTR_ARRANGER_MNG,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0409B
F0410A,Manager,My Inbox - Approve Travel Expenses,Transactional,SAP Fiori: My Inbox,CA_FIORI_INBOX,/sap/bc/ui5_ui5/sap/ca_fiori_inbox,cross.fnd.fiori.inbox,TRV_ATE_S4_SRV,0001,/IWPGW/TASKPROCESSING,0002,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0410A
F0411A,Manager,My Inbox - Approve Travel Requests,Transactional,SAP Fiori: My Inbox,CA_FIORI_INBOX,/sap/bc/ui5_ui5/sap/ca_fiori_inbox,cross.fnd.fiori.inbox,TRV_ATR_S4_SRV,0001,/IWPGW/TASKPROCESSING,0002,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0411A
F0431,Retail Store Associate,Look Up Retail Products,Transactional,SAP Fiori (SAPUI5),RT_PROD_LKPS1,/sap/bc/ui5_ui5/sap/rt_prod_lkps1,retail.store.productlookups1,RETAILSTORE_PRODUCT_LKP_SRV,0001,VBI_APPL_DEF2_SRV,0001,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0431
F0433,Insurance Claims Supervisor,Workload Management - Claims,Transactional,SAP Fiori (SAPUI5),WLM_CLAIMSS1,/sap/bc/ui5_ui5/sap/wlm_claimss1,fs.ins.wlm.claimss1,ICL_WLM_TASKS,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0433
F0499,Employee - Master Data Request,Request Supplier (MDG),Transactional,SAP Fiori (SAPUI5),MDG_REQ_SUPPL,/sap/bc/ui5_ui5/sap/mdg_req_suppl,fcg.mdg.requestsupplier,MDG_SUPPLIER_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0499
F0500,Employee - Master Data Request,Request Customer (MDG),Transactional,SAP Fiori (SAPUI5),mdg_req_cust,/sap/bc/ui5_ui5/sap/mdg_req_cust,fcg.mdg.requestcustomer,MDG_CUSTOMER_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0500
F0501,Employee - Master Data Request,Request Business Partner (MDG),Transactional,SAP Fiori (SAPUI5),MDG_REQ_BP,/sap/bc/ui5_ui5/sap/mdg_req_bp,fcg.mdg.requestbp,MDG_BP_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0501
F0502,Employee - Master Data Request,Request Material (MDG),Transactional,SAP Fiori (SAPUI5),MDG_REQ_MAT,/sap/bc/ui5_ui5/sap/mdg_req_mat,fcg.mdg.requestmaterial,MDG_MATERIAL_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0502
F0503,Employee - Master Data Request,Request Cost Center (MDG),Transactional,SAP Fiori (SAPUI5),MDG_REQ_CC,/sap/bc/ui5_ui5/sap/mdg_req_cc,fcg.mdg.requestcostcenter,MDG_COSTCENTER_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0503
F0504,Employee - Master Data Request,Request Profit Center (MDG),Transactional,SAP Fiori (SAPUI5),MDG_REQ_PC,/sap/bc/ui5_ui5/sap/mdg_req_pc,fcg.mdg.requestprofitcenter,MDG_PROFITCENTER_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0504
F0510,Administrator,ILM Monitoring of Archiving  Jobs,Transactional,SAP Fiori (SAPUI5),ILM_JOBMON,/sap/bc/ui5_ui5/sap/ilm_jobmon,,ILM_JOB_MONITOR_SERVICE,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0510
F0510A,Data Privacy Specialist,Monitor Archiving Jobs,Transactional,SAP Fiori (SAPUI5),BAS_ILM_JOBMON,/sap/bc/ui5_ui5/sap/bas_ilm_jobmon,uxcc.fnd.archjobmon,ILM_JOB_MONITOR_SERVICE,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0510A
