FioriId;AppName;Link;MainServiceName;ServiceUri;ODataVersion;SEGWProject;ProgrammingModel;BusinessEntity;FPM_Extended
F5861;SubmitBankAccountApplications;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5861;BANKACCTOPENINGREQDRFTTP;/sap/opu/odata/sap/BANKACCTOPENINGREQDRFTTP;2.0;;RAP;C_BankAccountOpeningReqDrftTP;Yes
F5866;ScheduleDeletionofPurchaseOrderTraceabilityLogs;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5866;APJ_JOB_MANAGEMENT_SRV;/sap/opu/odata/sap/APJ_JOB_MANAGEMENT_SRV;2.0;APJ_JOB_MANAGEMENT;N/A;;N/A
F5946;ApplicationLogforManagePurchaseOrder(Fashion);https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5946;APJ_JOB_MANAGEMENT_SRV;/sap/opu/odata/sap/APJ_JOB_MANAGEMENT_SRV;2.0;APJ_JOB_MANAGEMENT;N/A;;N/A
F5949;ApplicationLogforManageProvisionalSalesContracts(Fashion);https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5949;APJ_JOB_MANAGEMENT_SRV;/sap/opu/odata/sap/APJ_JOB_MANAGEMENT_SRV;2.0;APJ_JOB_MANAGEMENT;N/A;;N/A
F5951;ApplicationJobforManageMasterProductionOrders;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5951;APJ_JOB_MANAGEMENT_SRV;/sap/opu/odata/sap/APJ_JOB_MANAGEMENT_SRV;2.0;APJ_JOB_MANAGEMENT;N/A;;N/A
F6012;MyInboxSalesDocuments;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F6012;TASKPROCESSING;/sap/opu/odata/IWPGW/TASKPROCESSING;2.0;;N/A;;N/A
F6123;DisplayCashPoolHierarchies;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F6123;UI_CSHPOOLASSGMTHIER_DISP;/sap/opu/odata/sap/UI_CSHPOOLASSGMTHIER_DISP;2.0;;N/A;;N/A
F6164;ManageWorkflowsforGroupJournalEntries;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F6164;SWF_FLEX_DEF_SRV;/sap/opu/odata/sap/SWF_FLEX_DEF_SRV;2.0;SWF_FLEX_DEF;N/A;;N/A
F6165;MyInbox(GroupJournalEntries);https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F6165;TASKPROCESSING;/sap/opu/odata/IWPGW/TASKPROCESSING;2.0;;N/A;;N/A
F6264;ApproveBankAccountChanges-TwoPersonVerification;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F6264;C_BKACCTTWOPERSONWL_SRV;/sap/opu/odata/sap/C_BKACCTTWOPERSONWL_SRV;2.0;;N/A;;N/A
